Authors,Year,Source title,Abstract
Uzzi B.,1996,American Sociological Review,"In this paper, I attempt to advance the concept of embeddedness beyond the level of a programmatic statement by developing a formulation that specifies how embeddedness and network structure affect economic action. On the basis of existing theory and original ethnographies of 23 apparel firms, I develop a systematic scheme that more fully demarcates the unique features, functions, and sources of embeddedness. From this scheme, I derive a set of refutable implications and test their plausibility, using another data set on the network ties of all better dress apparel firms in the New York apparel economy. Results reveal that embeddedness is an exchange system with unique opportunities relative to markets and that firms organized in networks have higher survival chances than do firms which maintain arm's-length market relationships. The positive effect of embeddedness reaches a threshold, however, after which point the positive effect reverses itself."
"Inglehart R., Baker W.E.",2000,American Sociological Review,"Modernization theorists from Karl Marx to Daniel Bell have argued that economic development brings pervasive cultural changes. But others, from Max Weber to Samuel Huntington, have claimed that cultural values are an enduring and autonomous influence on society. We test the thesis that economic development is linked with systematic changes in basic values. Using data from the three waves of the World Values Surveys, which include 65 societies and 75 percent of the world's population, we find evidence of both massive cultural change and the persistence of distinctive cultural traditions. Economic development is associated with shifts away from absolute norms and values toward values that are increasingly rational, tolerant, trusting, and participatory. Cultural change, however, is path dependent. The broad cultural heritage of a society-Protestant, Roman Catholic, Orthodox, Confucian, or Communist-leaves an imprint on values that endures despite modernization. Moreover, the differences between the values held by members of different religions within given societies are much smaller than are cross-national differences. Once established, such cross-cultural differences become part of a national culture transmitted by educational institutions and mass media. We conclude with some proposed revisions of modernization theory."
Burt R.S.,2004,American Journal of Sociology,"This article outlines the mechanism by which brokerage provides social capital. Opinion and behavior are more homogeneous within than between groups, so people connected across groups are more familiar with alternative ways of thinking and behaving. Brokerage across the structural holes between groups provides a vision of options otherwise unseen, which is the mechanism by which brokerage becomes social capital. I review evidence consistent with the hypothesis, then look at the networks around managers in a large American electronics company. The organization is rife with structural holes, and brokerage has its expected correlates. Compensation, positive performance evaluations, promotions, and good ideas are disproportionately in the hands of people whose networks span structural holes. The between-group brokers are more likely to express ideas, less likely to have ideas dismissed, and more likely to have ideas evaluated as valuable. I close with implications for creativity and structural change."
"Meyer J.W., Boli J., Thomas G.M., Ramirez F.O.",1997,American Journal of Sociology,"The authors analyze the nation-state as a worldwide institution constructed by worldwide cultural and associational processes, developing four main topics: (1) properties of nation-states that result from their exogenously driven construction, including isomorphism, decoupling, and expansive structuration; (2) processes by which rationalistic world culture affects national states; (3) characteristics of world society that enhance the impact of world culture on national states and societies, including conditions favoring the diffusion of world models, expansion of world-level associations, and rationalized scientific and professional authority; (4) dynamic features of world culture and society that generate expansion, conflict, and change, especially the statelessness of world society, legitimation of multiple levels of rationalized actors, and internal inconsistencies and contradictions."
"Emirbayer M., Mische A.",1998,American Journal of Sociology,"This article aims (1) to analytically disaggregate agency into its several component elements (though these are interrelated empirically), (2) to demonstrate the ways in which these agentic dimensions inter-penetrate with forms of structure, and (3) to point out the implications of such a conception of agency for empirical research. The authors conceptualize agency as a temporally embedded process of social engagement, informed by the past (in its ""iterational"" or habitual aspect) but also oriented toward the future (as a ""projective"" capacity to imagine alternative possibilities) and toward the present (as a ""practical-evaluative"" capacity to contextualize past habits and future projects within the contingencies of the moment)."
"Portes A., Sensenbrenner J.",1993,American Journal of Sociology,"This article contributes to the reemerging field of economic sociology by delving into its classic roots to refine current concepts and using examples from the immigration literature to explore the different forms in which social structures affect economic action. The concept of social ""embeddedness' provides a suitable theoretical umbrella, although in analyzing its specific manifestations the article focuses on the concept of social capital. The various mechanisms through which social structures affect economic action are identified and categorized and their consequences, positive and negative, highlighted. The propositions that summarize the different parts of the discussion attempt to move these concepts beyond sensitizing generalities to hypothesis-like statements that can guide future research. -Authors"
"Gulati R., Gargiulo M.",1999,American Journal of Sociology,"Organizations enter alliances with each other to access critical resources, but they rely on information from the network of prior alliances to determine with whom to cooperate. These new alliances modify the existing network, prompting an endogenous dynamic between organizational action and network structure that drives the emergence of interorganizational networks. Testing these ideas on alliances formed in three industries over nine years, this research shows that the probability of a new alliance between specific organizations increases with their interdependence and also with their prior mutual alliances, common third parties, and joint centrality in the alliance network. The differentiation of the emerging network structure, however, mitigates the effect of interdependence and enhances the effect of joint centrality on new alliance formation."
"Sampson R.J., Raudenbush S.W.",1999,American Journal of Sociology,"This article assesses the sources and consequences of public disorder. Based on the videotaping and systematic rating of more than 23,000 street segments in Chicago, highly reliable scales of social and physical disorder for 196 neighborhoods are constructed. Census data, police records, and an independent survey of more than 3,500 residents are then integrated to test a theory of collective efficacy and structural constraints. Defined as cohesion among residents combined with shared expectations for the social control of public space, collective efficacy explains lower rates of crime and observed disorder after controlling neighborhood structural characteristics. Collective efficacy is also linked to lower rates of violent crime after accounting for disorder and the reciprocal effects of violence. Contrary to the ""broken windows"" theory, however, the relationship between public disorder and crime is spurious except perhaps for robbery."
Emirbayer M.,1997,American Journal of Sociology,"Sociologists today are faced with a fundamental dilemma: whether to conceive of the social world as consisting primarily in substances or processes, in static ""things"" or in dynamic, unfolding relations. Rational-actor and norm-based models, diverse holisms and structuralisms, and statistical ""variable"" analyses continue implicitly or explicitly to prefer the former point of view. By contrast, this ""manifesto"" presents an alternative, ""relational"" perspective, first in broad, philosophical outlines, then by exploring its implications for both theory and empirical research. In the closing pages, it ponders some of the difficulties and challenges now facing relational analysis, taking up in turn the issues of boundaries and entities, network dynamics, causality, and normative implications."
Pager D.,2003,American Journal of Sociology,"With over 2 million individuals currently incarcerated, and over half a million prisoners released each year, the large and growing number of men being processed through the criminal justice system raises important questions about the consequences of this massive institutional intervention. This article focuses on the consequences of incarceration for the employment outcomes of black and white job seekers. The present study adopts an experimental audit approach - in which matched pairs of individuals applied for real entry-level jobs - to formally test the degree to which a criminal record affects subsequent employment opportunities. The findings of this study reveal an important, and much underrecognized, mechanism of stratification. A criminal record presents a major barrier to employment, with important implications for racial disparities."
