Authors,Year,Source title,Abstract
"Acemoglu D., Johnson S., Robinson J.A.",2001,American Economic Review,"We exploit differences in European mortality rates to estimate the effect of institutions on economic performance. Europeans adopted very different colonization policies in different colonies, with different associated institutions. In places where Europeans faced high mortality rates, they could not settle and were more likely to set up extractive institutions. These institutions persisted to the present. Exploiting differences in European mortality rates as an instrument for current institutions, we estimate large effects of institutions on income per capita. Once the effect of institutions is controlled for, countries in Africa or those closer to the equator do not have lower incomes. (JEL O11, P16, P51)."
"Rajan R.G., Zingales L.",1998,American Economic Review,"This paper examines whether financial development facilitates economic growth by scrutinizing one rationale for such a relationship: that financial development reduces the costs of external finance to firms. Specifically, we ask whether industrial sectors that are relatively more in need of external finance develop disproportionately faster in countries with more-developed financial markets. We find this to be true in a large sample of countries over the 1980's. We show this result is unlikely to be driven by omitted variables, outliers, or reverse causality."
"Anderson J.E., Van Wincoop E.",2003,American Economic Review,"Gravity equations have been widely used to infer trade flow effects of various institutional arrangements. We show that estimated gravity equations do not have a theoretical foundation. This implies both that estimation suffers from omitted variables bias and that comparative statics analysis is unfounded. We develop a method that (i) consistently and efficiently estimates a theoretical gravity equation and (ii) correctly calculates the comparative statics of trade frictions. We apply the method to solve the famous McCallum border puzzle. Applying our method, we find that national borders reduce trade between industrialized countries by moderate amounts of 20-50 percent."
"Levine R., Renelt D.",1992,American Economic Review,"A vast literature uses cross-country regressions to search for empirical linkages between long-run growth rates and a variety of economic policy, political, and institutional indicators. This paper examines whether the conclusions from existing studies are robust or fragile to small changes in the conditioning information set. Almost all results are fragile. It identifies a positive, robust correlation between growth and the share of investment in GDP and between the investment share and the ratio of international trade to GDP. We clarify the conditions under which there is evidence of per capita output convergence. -Authors"
"Bolton G.E., Ockenfels A.",2000,American Economic Review,"We demonstrate that a simple model, constructed on the premise that people are motivated by both their pecuniary payoff and their relative payoff standing, organizes a large and seemingly disparate set of laboratory observations as one consistent pattern. The model is incomplete information but nevertheless posed entirely in terms of directly observable variables. The model explains observations from games where equity is thought to be a factor, such as ultimatum and dictator, games where reciprocity is thought to play a role, such as the prisoner's dilemma and gift exchange, and games where competitive behavior is observed, such as Bertrand markets."
"Fare R., Grosskopf S., Norris M., Zhongyang Zhang",1994,American Economic Review,"This paper analyzes productivity growth in 17 OECD countries over the period 1979-1988. A nonparametric programming method (activity analysis) is used to compute Malmquist productivity indexes. These are decomposed into two component measures, namely, technical change and efficiency change. We find that US productivity growth is slightly higher than average, all of which is due to technical change. Japan's productivity growth is the highest in the sample, with almost half due to efficiency change. -Authors"
"Frankel J.A., Romer D.",1999,American Economic Review,"Examining the correlation between trade and income cannot identify the direction of causation between the two. Countries' geographic characteristics, however, have important effects on trade, and are plausibly uncorrelated with other determinants of income. This paper therefore constructs measures of the geographic component of countries' trade, and uses those measures to obtain instrumental variables estimates of the effect of trade on income. The results provide no evidence that ordinary least-squares estimates overstate the effects of trade. Further, they suggest that trade has a quantitatively large and robust, though only moderately statistically significant, positive effect on income."
Krugman P.,1980,American Economic Review,"Presents a simple formal analysis which incorporates elements of scale economies, the possibility of product differentiation and imperfect competition, showing how it can be used to shed light on issues that cannot be handled by more conventional models, like the causes of trade between economies with similar factor endowments, and the role of a large domestic market in encouraging exports.-after Author"
"Levine R., Zervos S.",1998,American Economic Review,"Do well-functioning stock markets and banks promote long-run economic growth? This paper shows that stock market liquidity and banking development both positively predict growth, capital accumulation, and productivity improvements when entered together in regressions, even after controlling for economic and political factors. The results are consistent with the views that financial markets provide important services for growth, and that stock markets provide different services from banks. The paper also finds that stock market size, volatility, and international integration are not robustly linked with growth, and that none of the financial indicators is closely associated with private saving rates."
"Bernanke B., Gertler M.",1989,American Economic Review,"This paper develops a simple neoclassical model of the business cycle in which condition of borrowers' balance sheets is a source of output dynamics. The mechanism is that higher borrower net worth reduces the agency costs of financing real capital investments. Business upturns improve net worth, lower agency costs, and increase investment, which amplifies the upturn; vice versa, for downturns. Shocks that affect net worth (as in a debt-deflation) can initiate fluctuations. © 1989, American Economic Association. All rights reserved."
