86,78,56,59,89,11,37,73,33,61,99,70,14,21,13,41,50,93,72,25,4,55,46,97,1,34,6,47,87,63,35,48,68,84,53,57,22,38,60,10,15,67,8,62,29,18,9,71,19,91,74,95,27,83,77,81,58,17,32,64,51,12,52,43,92,39,96,28,3,36,7,65,30,94,80,2,90,45,24,82,54,69,44,85,49,0,42,98,23,79,16,5,75,76,26,88,20,31,66,40
great (12.63),looking (1.08),friendly (4.63),always (4.75),place (3.47),food (5.11),delicious (8.45),find (1.55),surprised (0.68),sandwich (1.77),atmosphere (3.75),sweet (3.87),green (2.14),portland (5.22),also (1.71),area (2.95),feel_like (1.27),promise (0.74),cocktail (1.49),sushi (1.35),pizza (1.38),breakfast (3.48),chicken (2.6),free (1.73),atleast (0.57),selection (4.59),needed (0.45),absolutely (1.96),seating (1.76),nail (2.62),new (2.73),salsa (2.58),first_time (1.88),donut (2.99),professional (1.85),house (2.58),] (2.19),reasonable (0.53),advice (1.17),event (1.13),ship (0.26),angela (0.83),tea (1.92),chop (0.47),greeted (0.45),[ (2.05),fun (2.16),tire (1.83),pho (2.2),different (1.74),book (0.59),wait (2.92),server (0.28),matt (0.65),weekend (0.78),feeling (1.12),color (0.66),pick (0.49),coffee (3.2),load (0.45),beautiful (2.22),wine (1.22),clean (2.62),staying (0.35),boutique (0.81),community (1.93),calendar (0.42),mouth (0.88),chip (0.95),moved (0.62),roof (0.57),family (1.26),stadium (0.95),comped (0.27),airport (0.7),infinity (0.27),anxiety (0.68),accident (0.38),distance (0.7),stranger (0.05),pup (0.76),agent (0.29),invoice (0.31),cooked (0.41),sole (0.23),pain (0.8),sore (0.3),disaster (0.12),la (0.85),dr (0.5),technician (0.45),court (0.24),interaction (0.11),slept (0.05),separation (0.27),frame (0.75),fight (0.25),compassionate (0.34),shoe (0.31),removal (0.06)
amazing (9.87),stopped (0.83),super (3.69),good (4.45),try (2.08),restaurant (1.77),fresh (3.98),much (1.3),totally (0.53),fried_chicken (1.7),environment (1.84),dessert (1.84),perfectly (1.89),atlanta (3.4),big (1.05),neighborhood (1.33),everyone (1.22),owner (0.54),strong (1.37),crab (1.17),salad (1.12),biscuit (1.62),dish (1.99),pricey (0.93),stuff (0.44),variety (1.86),thoroughly (0.3),hand (1.86),outdoor (1.18),salon (2.15),year (0.78),margarita (2.47),dinner (1.82),cake (1.96),team (1.76),watering (0.64),soursop (0.42),quantity (0.51),helping (0.8),bar (0.76),sold (0.15),talented (0.59),smoothie (0.97),bap (0.43),gentleman (0.31),delisious (0.39),music (2.04),truck (1.29),pork (1.53),many (0.56),learned (0.44),hr (-0.07),reservation (0.21),brian (0.59),evening (0.43),feel (1.07),tint (0.55),estimated (0.19),latte (1.09),power (0.45),flower (1.07),beer (0.89),cleaning (1.02),valet (0.3),plant (0.71),coach (0.56),digital (0.3),plate (0.68),lime (0.37),lived (0.58),repair (0.53),adult (0.2),view (0.6),assuming (0.12),trip (0.68),docusign (0.26),doc (0.32),pregnant (0.31),covid (0.56),sober (0.03),vet (0.43),resolution (0.18),error (0.13),meh (0.11),hole (0.21),body (0.38),massaged (0.25),popeyes (0.04),de (0.57),dental (0.24),tech (0.24),permit (0.21),etiquette (0.08),bed (-0.0),flashy (0.13),pair (0.28),gun (0.11),medical (0.15),skirt (0.11),
best (6.92),got (0.74),service (3.31),spot (3.78),visit (2.0),menu (1.74),flavor (2.63),plan (0.73),may (0.4),crispy (1.64),inviting (1.54),baked (1.04),hot (1.23),town (2.47),shared (0.86),street (0.77),shy (0.58),certainly (0.52),pairing (0.9),oyster (1.17),lamb (1.12),grit (1.34),thai (1.61),deal (0.74),hella (0.44),unique (1.03),follow (0.25),nicest (0.96),inside (1.05),hair (1.07),recently (0.3),burrito (2.18),birthday (0.85),ice_cream (1.41),work (1.5),chilly (0.63),reso (0.37),level (0.48),patience (0.58),dive (0.67),ace (0.15),sydney (0.46),milk (0.94),shoestring (0.37),teller (0.25),veryy (0.28),game (1.35),bike (0.58),fried_rice (1.23),nine (0.12),meet (0.35),min_later (-0.19),waiter (-0.16),aaron (0.54),christmas (0.24),relaxing (0.85),length (0.35),delay (0.14),coffee_shop (0.85),bell (0.43),art (0.88),tap (0.52),carpet (0.44),concierge (0.29),jewelry (0.63),fitness (0.5),processing (0.23),basket (0.41),corn (0.36),furniture (0.51),electricity (0.28),year_old (0.16),explore (0.47),clarify (0.1),traffic (0.34),hammond (0.25),practice (0.26),stress (0.25),maintained (0.24),dumb (-0.01),pet (0.31),contacting (0.14),groupon (0.13),drenched (0.07),lift (0.19),massage (0.35),finger (0.2),lackluster (0.04),gusto (0.3),tooth (0.2),consultation (0.13),county (0.18),behaving (0.05),sleeping (-0.06),socially (0.11),fitting (0.13),guard (0.07),physician (0.11),sweater (0.1),
nice (6.28),awhile (0.67),staff (3.1),well (2.24),glad (1.37),meal (1.74),bowl (2.16),every (0.66),stand (0.34),chicken_sandwich (1.19),vibe (1.4),seasonal (0.91),liked (1.18),visiting (1.15),along (0.67),parking_lot (0.52),squeezed (0.44),anybody (0.2),glass (0.81),steak (1.07),bread (1.05),egg (1.23),curry (1.07),reward (0.32),gotta (0.26),classic (0.94),promptly (0.24),truly (0.89),chair (0.89),sn (0.81),yesterday (0.23),taco (1.94),anniversary (0.49),nutella (0.87),organized (0.71),boat (0.5),prissy (0.31),higher (0.34),personal (0.56),cheer (0.54),discontinued (0.13),angel (0.44),lavender (0.89),felafel (0.36),directed (0.18),gharib (0.26),dj (0.6),iphone (0.51),ramen (0.72),ten (0.11),walker (0.33),minute_later (-0.75),hostess (-0.57),joey (0.41),around_pm (0.24),skin (0.72),scalp (0.33),advance (0.08),cafe (0.53),junk (0.4),wedding (0.7),cigar (0.51),smelling (0.41),ritz (0.11),ring (0.48),encouraging (0.46),paperwork (0.19),oven (0.3),mayo (0.26),renting (0.21),leak (0.22),parent (0.07),museum (0.42),shrugged (0.06),united (0.18),iui (0.24),checkup (0.18),ex (0.22),temperature (0.19),silence (-0.02),rescue (0.22),transfer (0.13),automatically (0.1),doughy (0.07),painted (0.17),pressure (0.13),bruise (0.15),weak (-0.05),yo (0.26),doctor (0.19),availability (0.08),failure (0.11),impatient (-0.01),room (-2.24),wretched (0.1),suit (0.12),public (0.05),surgeon (0.06),worn (0.07),
love (5.97),returning (0.61),helpful (2.98),really (1.88),wow (0.96),chef (1.26),tasty (1.88),worry (0.59),sure (0.29),collard_green (1.12),comfortable (1.34),must_try (0.79),soft (0.64),pdx (0.89),wide (0.63),mall (0.44),throughout (0.43),yelper (0.17),hookah (0.72),seafood (1.02),asparagus (0.57),pancake (0.78),portion (1.05),spendy (0.31),bc (0.26),style (0.92),reviewed (0.23),easily (0.45),wall (0.63),eyebrow (0.78),switched (0.22),mexican (1.69),celebrating (0.48),cooky (0.74),efficient (0.67),blue (0.48),paiku (0.3),much_better (0.33),grateful (0.38),club (0.47),ikea (0.12),mary (0.39),milk_tea (0.79),malaya (0.33),slammed (0.15),luther (0.26),bowling (0.48),dealer (0.29),soup (0.4),five (0.09),navigate (0.27),waited_minute (-1.01),host (-0.84),samuel (0.35),weekday (0.19),spa (0.72),styling (0.25),curbside (0.03),barista (0.33),handle (0.27),beautifully (0.37),cider (0.4),maid (0.29),westin (0.11),souvenir (0.48),program (0.43),showing (0.17),box (0.3),marinated (0.22),construction (0.14),installation (0.19),boy (0.06),aquarium (0.4),remake (0.05),ride (0.16),notary (0.23),prescribed (0.18),sensitivity (0.2),require (0.14),laugh (-0.04),daycare (0.17),representative (0.09),waive (0.1),raw (-0.01),ding (0.14),therapist (0.1),knot (0.14),crappy (-0.09),mi (0.15),hygienist (0.1),receptionist (0.06),deceptive (0.1),manner (-0.05),,shortest (0.09),fitted (0.1),camera (0.05),medication (-0.01),jacket (0.03),
favorite (5.18),right (0.61),thank (2.67),option (1.84),bomb (0.9),authentic (1.23),spicy (1.74),forward (0.55),complaint (0.28),wing (0.93),ambiance (1.23),flavored (0.79),highlight (0.6),city (0.79),main (0.62),located (0.43),flowed (0.25),giving (0.17),juice (0.63),scallop (0.97),mushroom (0.55),potato (0.74),poke (0.52),hefty (0.31),lol (0.25),crafted (0.58),occurred (0.22),greatest (0.36),balcony (0.6),acrylic (0.72),date (0.17),pollo (0.54),boyfriend (0.36),gelato (0.69),crew (0.58),dark (0.35),farmburger (0.26),rate (0.31),confidence (0.31),pub (0.4),columbia (0.11),kim (0.34),coconut (0.6),iskender (0.27),entering (0.13),tek (0.2),crowd (0.41),volvo (0.28),dumpling (0.29),various (0.07),setup (0.25),waiting (-1.81),seated (-0.86),ruben (0.32),tuesday (0.09),facial (0.57),root (0.2),app (-0.17),baristas (0.31),tight (0.24),pic (0.29),ipas (0.31),cleaner (0.11),night (0.04),vintage (0.46),gym (0.42),cc (0.14),grill (0.29),avocado (0.21),rented (0.12),gutter (0.17),niece (0.04),beltline (0.27),forgotten (0.04),shuttle (0.12),clayton (0.22),specialist (0.16),severe (0.19),safe (0.12),smiled (-0.1),animal (0.12),communicate (0.02),accept (0.08),flour (-0.12),roller (0.12),muscle (0.09),hurt (0.12),smh (-0.1),se (0.14),dentist (-0.04),schedule (-0.02),negotiate (0.09),fired (-0.09),,contamination (0.09),fit (-0.22),criminal (-0.07),pregnancy (-0.08),slack (0.03),
excellent (4.68),long (0.59),knowledgeable (2.45),little (1.47),must (0.84),italian (1.19),flavorful (1.61),changing (0.52),mind (0.26),juicy (0.89),cozy (1.11),die (0.78),bit (0.58),socal (0.68),share (0.57),hidden (0.39),welcome (0.23),employ (0.12),sip (0.6),fried (0.92),garlic (0.46),toast (0.73),rice (0.5),discount (0.22),jerk (0.25),flare (0.58),necessary (0.21),ever_seen (0.26),patio (0.33),wax (0.5),july (0.16),enchilada (0.52),celebration (0.36),doughnut (0.55),handled (0.39),drip (0.33),york (0.26),lowest (0.28),knowledge (0.26),era (0.35),evo (0.09),jamie (0.34),matcha (0.54),colada (0.27),walking (0.11),melki (0.2),football (0.35),sensor (0.24),beef (0.21),among (0.03),accessible (0.23),waited (-2.01),party (-0.89),dean (0.3),noon (0.05),threaded (0.39),comb (0.18),catering (-0.36),stumptown (0.31),ran (0.23),gorgeous (0.26),liquor (0.3),chemical (0.11),suite (0.01),perfume (0.37),instructor (0.24),print (0.11),chopstick (0.2),dip (0.19),moving (0.11),hardware (0.17),aunt (0.03),peaceful (0.26),snapped (0.03),wheelchair (0.12),hayes (0.19),referred (0.14),allergy (0.18),measure (0.12),dude (-0.12),dog (0.11),promised (0.02),owe (0.07),overcooked (-0.15),cracked (0.12),therapy (0.08),knee (0.12),save_money (-0.17),da (0.1),exam (-0.04),scheduling (-0.19),notify (0.07),assumption (-0.1),,compromised (0.07),dress (-1.0),shut (-0.14),pharmacy (-0.14),wore (-0.01),
highly_recommend (4.6),home (0.57),attentive (1.8),especially (1.38),fan (0.65),dining (1.11),vegetarian (1.36),significant (0.48),believe (0.24),philly (0.81),cute (1.06),winner (0.73),warm (0.47),local (0.68),size (0.53),ne (0.37),reception (0.2),encounter (0.12),sample (0.59),salmon (0.82),pita (0.45),jam (0.62),chinese (0.5),saving (0.21),crazy (0.25),genius (0.53),labor (0.19),fastest (0.24),sit (0.32),gel (0.49),quarantine (0.12),torta (0.44),wife (0.34),pie (0.53),thorough (0.31),vine (0.3),dresden (0.23),compared (0.28),guidance (0.25),breezy (0.34),produce (0.09),jasmine (0.33),strawberry (0.52),supreme (0.26),desk (0.05),berto (0.18),jazz (0.33),warranty (0.24),kimchi (0.18),including (-0.0),video (0.23),hour (-2.07),bartender (-0.96),r (0.28),midday (0.04),sugaring (0.35),brassy (0.18),ahead (-0.38),pastry (0.22),key (0.22),nailed (0.21),gin (0.22),wiped (0.1),booking (-0.1),hat (0.29),trainer (0.22),ad (0.09),crushed (0.2),chile (0.14),residential (0.09),driveway (0.15),mother (-0.04),park (0.25),fuming (0.03),traveling (0.11),yolanda (0.18),imaging (0.12),alleviate (0.18),rule (0.05),woman (-0.16),,contacted (-0.14),promotion (0.06),tasted (-0.2),washing (0.09),heal (0.07),thigh (0.07),somewhere_else (-0.45),gracias (0.08),teeth (-0.18),appt (-0.41),license (0.06),costumer (-0.19),,stomping (0.07),,action (-0.16),symptom (-0.2),shirt (-0.12),
definitely (4.35),blew (0.57),helped (1.67),fast (1.34),sooo (0.63),buffet (0.96),yummy (1.18),faster (0.45),wonder (0.22),smoked (0.76),modern (0.95),heaven (0.64),combination (0.43),south (0.55),bunch (0.51),publix (0.37),observing (0.15),contrary (0.08),refreshing (0.58),tempura (0.75),cauliflower (0.44),croissant (0.53),takeout (0.47),x (0.18),wanna (0.23),creative (0.51),pressured (0.18),possibly (0.23),distanced (0.32),manicure (0.45),august (0.11),mole (0.29),fianc (0.32),chocolate (0.49),responsive (0.24),winter (0.29),tg (0.23),accurate (0.28),taught (0.23),lit (0.32),warehouse (0.08),joy (0.32),chai (0.45),pina (0.26),direction (0.05),werr (0.16),song (0.3),honda (0.21),broth (0.16),couple (-0.01),estate (0.21),min (-2.13),waitress (-1.35),jr (0.26),holiday (0.01),technique (0.34),dyed (0.16),placed_order (-0.45),study (0.06),knocked (0.2),unicorn (0.2),brew (0.18),laundry (0.1),reserved (-0.1),gear (0.26),supportive (0.18),signing (0.07),pan (0.17),sprout (0.14),pest (0.03),rebuilt (0.13),father (-0.09),artifact (0.25),obliged (0.03),travel (0.07),consulting (0.18),cancer (0.11),caught (0.16),requiring (0.05),female (-0.16),,reached (-0.16),tax (0.01),chewy (-0.28),touched (0.09),effective (0.07),peel (0.06),disappointment (-0.45),lo (0.08),insurance (-0.58),scheduled (-0.7),dealing (0.06),uncomfortable (-0.23),,wrecking (0.07),,incident (-0.27),surgery (-0.63),clothes (-0.38),
everything (4.09),soon (0.56),welcoming (1.52),healthy (1.33),whenever (0.61),lunch (0.86),veggie (1.09),cannot (0.42),avoided (0.18),brisket (0.73),cool (0.89),peach (0.63),symphony (0.42),king (0.53),top (0.49),road (0.34),nonstop (0.14),trust (0.07),shot (0.53),appetizer (0.6),brussels (0.39),waffle (0.52),yakisoba (0.44),bargain (0.17),l (0.22),specialty (0.5),correctly (0.18),period (0.22),bench (0.23),haircut (0.43),recent (0.11),queso (0.26),graduation (0.29),cupcake (0.33),transparent (0.15),summer (0.29),nu (0.2),fair (0.27),generosity (0.21),speakeasy (0.28),eyeglass (0.07),samantha (0.32),iced (0.32),woah (0.26),handing (0.04),eng (0.16),play (0.21),wheel (0.19),noodle (0.12),dozen (-0.02),educational (0.2),minute (-3.86),table (-1.94),anthony (0.23),saturday (-0.05),relaxed (0.28),coloring (0.13),ordering (-0.46),mocha (0.01),unloaded (0.19),dream (0.19),hoppy (0.18),dirt (0.07),lobby (-0.11),clothing (0.25),beginner (0.14),site (0.06),tossed (0.16),pico (0.06),storage (-0.01),appliance (0.12),toddler (-0.19),waterfront (0.24),comping (0.02),luggage (-0.0),operational (0.18),physical (0.11),struggling (0.15),spaced (0.04),girl (-0.18),,answered (-0.21),atm (-0.06),greasy (-0.28),piping (0.09),adjustment (0.04),bruising (0.06),nasty (-0.77),con (0.08),procedure (-0.69),appointment (-1.75),incentive (0.05),unfriendly (-0.38),,tripping (0.06),,security (-0.55),,wear (-0.41),
